issuerTradingSymbol,date,close
TRKN,,
WYPT,,
NWAC,,
FLE,,
REG,2022-12-06,65.39
REG,2022-12-07,65.75
REG,2022-12-08,65.96
REG,2022-12-09,65.73
REG,2022-12-12,65.57
REG,2022-12-13,65.68
REG,2022-12-14,65.53
REG,2022-12-15,63.45
REG,2022-12-16,62.73
REG,2022-12-19,62.33
REG,2022-12-20,61.67
REG,2022-12-21,62.51
REG,2022-12-22,62.27
REG,2022-12-23,62.64
REG,2022-12-27,62.61
REG,2022-12-28,61.65
REG,2022-12-29,62.64
REG,2022-12-30,62.5
REG,2023-01-03,62.83
REG,2023-01-04,63.69
REG,2023-01-05,62.29
REG,2023-01-06,63.59
REG,2023-01-09,62.53
REG,2023-01-10,62.03
REG,2023-01-11,64.32
REG,2023-01-12,66.49
REG,2023-01-13,65.98
REG,2023-01-17,65.97
REG,2023-01-18,64.12
REG,2023-01-19,63.46
REG,2023-01-20,64.35
REG,2023-01-23,65.44
REG,2023-01-24,65.88
REG,2023-01-25,65.94
REG,2023-01-26,66.05
REG,2023-01-27,67.15
REG,2023-01-30,65.73
REG,2023-01-31,66.63
REG,2023-02-01,67.1
REG,2023-02-02,67.53
REG,2023-02-03,66.81
REG,2023-02-06,66.2
REG,2023-02-07,65.6
REG,2023-02-08,65.1
REG,2023-02-09,63.55
REG,2023-02-10,65.67
REG,2023-02-13,66.82
REG,2023-02-14,65.75
REG,2023-02-15,65.2
REG,2023-02-16,64.6
REG,2023-02-17,64.33
REG,2023-02-21,62.91
REG,2023-02-22,62.85
REG,2023-02-23,63.49
REG,2023-02-24,63.15
REG,2023-02-27,63.07
REG,2023-02-28,62.9
REG,2023-03-01,62.76
REG,2023-03-02,62.76
REG,2023-03-03,63.28
REG,2023-03-06,63.65
REG,2023-03-07,61.35
REG,2023-03-08,61.96
REG,2023-03-09,60.61
REG,2023-03-10,58.58
REG,2023-03-13,58.82
REG,2023-03-14,60.15
REG,2023-03-15,59.87
REG,2023-03-16,58.26
REG,2023-03-17,56.65
REG,2023-03-20,57.7
REG,2023-03-21,58.09
REG,2023-03-22,56.31
REG,2023-03-23,56.69
REG,2023-03-24,58.34
REG,2023-03-27,58.5
REG,2023-03-28,58.41
REG,2023-03-29,59.21
REG,2023-03-30,59.51
REG,2023-03-31,61.18
REG,2023-04-03,61.25
REG,2023-04-04,60.87
REG,2023-04-05,60.26
REG,2023-04-06,60.3
REG,2023-04-10,60.43
REG,2023-04-11,60.73
REG,2023-04-12,59.99
REG,2023-04-13,60.0
REG,2023-04-14,59.66
