URL,type,periodOfReport,notSubjectToSection16,issuerTradingSymbol,m_isDirector,m_isOfficer,m_isTenPercentOwner,m_isOther,transactionCode,equitySwapInvolved,transactionTimeliness,transactionShares,sharesOwnedFollowingTransaction,directOrIndirectOwnership,init_prices,end_dates,end_prices,sharesBeforeTransaction,percentVolumeChange,percentPriceChange
https://www.sec.gov/Archives/edgar/data/1136704/000091957417004515,4,2017-05-22,0,CPSS,0,0,1,0,S,0,O,-5000.0,2319884.0,I,4.42,2018-05-22 00:00:00,3.71,2324884.0,-0.2150644935403228,-16.063348416289593
https://www.sec.gov/Archives/edgar/data/1354119/000112760211030549,4,2011-11-23,0,RLI,0,1,0,0,M,0,O,7200.0,25924.724,D,33.4156,2012-11-23 00:00:00,34.735,18724.724,38.45183512451239,3.948455212535468
https://www.sec.gov/Archives/edgar/data/1070844/000089924315007928,4,2015-11-06,0,BRX,0,0,1,0,S,0,O,-2150.0,17381.0,I,24.95,2016-11-07 00:00:00,24.37,19531.0,-11.008140904203572,-2.324649298597188
https://www.sec.gov/Archives/edgar/data/1080992/000122520810017020,4,2010-07-08,0,AZO,1,1,0,0,M,0,O,8945.0,22595.0,D,198.1,2011-07-08 00:00:00,298.28,13650.0,65.53113553113553,50.57041898031296
https://www.sec.gov/Archives/edgar/data/1177394/000112760213014785,4,2013-04-29,0,SNX,0,1,0,0,S,0,O,-3064.0,21463.0,D,16.2476,2014-04-29 00:00:00,31.9264,24527.0,-12.492355363476983,96.49917526280808
https://www.sec.gov/Archives/edgar/data/1307795/000114036110043581,4,2010-05-03,0,NATI,0,1,0,0,M,0,O,6000.0,56851.0,D,23.2667,2011-05-03 00:00:00,30.15,50851.0,11.799177990599988,29.58434156971121
https://www.sec.gov/Archives/edgar/data/1396106/000120919112013345,4,2012-02-23,0,THC,0,1,0,0,F,0,O,-2205.0,84035.0,D,89.92,2013-02-22 00:00:00,39.31,86240.0,-2.556818181818182,-56.28336298932384
https://www.sec.gov/Archives/edgar/data/1128928/000112760217008643,4,2017-02-23,0,FLO,0,1,0,0,A,0,O,4158.0,15972.0,D,19.2,2018-02-23 00:00:00,21.24,11814.0,35.19553072625698,10.624999999999996
https://www.sec.gov/Archives/edgar/data/1245697/000110465915077264,4,2015-11-06,0,SANM,1,0,0,0,S,0,O,-2500.0,9117.0,D,24.69,2016-11-07 00:00:00,28.7,11617.0,-21.52018593440648,16.241393276630205
https://www.sec.gov/Archives/edgar/data/1533092/000120919112053694,4,2012-11-15,0,MXIM,0,1,0,0,F,0,O,-554.0,99570.0,D,27.415,2013-11-15 00:00:00,29.19,100124.0,-0.5533138907754385,6.4745577238738
https://www.sec.gov/Archives/edgar/data/1557551/000089129314000034,4,2014-12-04,0,CTIC,0,1,0,0,S,0,O,-3900.0,407868.0,D,23.3,2015-12-04 00:00:00,10.5,411768.0,-0.9471352800606168,-54.93562231759657
https://www.sec.gov/Archives/edgar/data/1365369/000143813321000224,4,2021-11-29,0,TNDM,1,1,0,0,M,0,O,820.0,7430.0,D,130.65,2022-11-29 00:00:00,39.94,6610.0,12.405446293494704,-69.42977420589361
https://www.sec.gov/Archives/edgar/data/1506293/000150629321000170,4,2021-07-12,0,PINS,0,1,0,0,S,0,O,-510.0,611127.0,D,73.34,2022-07-12 00:00:00,18.5,611637.0,-0.0833827907729584,-74.77502045268612
https://www.sec.gov/Archives/edgar/data/1566051/000120919120049636,4,2020-09-04,0,CLDB,1,0,0,0,P,0,O,130.676,10474.478,D,14.4,2021-09-07 00:00:00,27.5,10343.802,1.2633265795304278,90.9722222222222
https://www.sec.gov/Archives/edgar/data/1317547/000146817421000094,4,2021-08-30,0,H,1,1,1,0,M,0,O,140601.0,223368.0,D,73.48,2022-08-30 00:00:00,89.44,82767.0,169.87567508789735,21.720195971692966
https://www.sec.gov/Archives/edgar/data/1297989/000120919115015412,4,2015-02-13,0,EXLS,0,1,0,0,F,0,O,-596.0,91281.0,D,6.268,2016-02-16 00:00:00,8.994,91877.0,-0.6486933617771586,43.49074664964901
https://www.sec.gov/Archives/edgar/data/1199870/000002891713000022,4/A,2013-02-01,0,DDS,0,1,0,0,A,0,O,194.0,52051.0,D,85.41,2014-02-03 00:00:00,85.23,51857.0,0.3741057137898451,-0.2107481559536267
https://www.sec.gov/Archives/edgar/data/1189134/000009238016000246,4,2016-06-13,0,LUV,1,0,0,0,G,0,O,-605.0,25945.0,D,42.16,2017-06-13 00:00:00,59.21,26550.0,-2.2787193973634654,40.441176470588246
https://www.sec.gov/Archives/edgar/data/1184237/000122520821013386,4,2021-11-01,0,EXPE,1,0,0,0,S,0,O,-28625.0,332112.0,D,167.23,2022-11-01 00:00:00,95.66,360737.0,-7.935143885988961,-42.79734497398792
https://www.sec.gov/Archives/edgar/data/1831938/000003552721000022,4,2021-01-29,0,FITB,0,1,0,0,F,0,O,-343.0,40076.7276,D,28.93,2022-01-31 00:00:00,44.63,40419.7276,-0.8485955259134403,54.26892499135846
https://www.sec.gov/Archives/edgar/data/1205948/000112760209014764,4,2009-06-30,0,BLL,0,1,0,0,J,0,O,-4200.0,136930.8461,D,11.29,2010-06-30 00:00:00,13.2075,141130.8461,-2.9759617518512136,16.98405668733393
https://www.sec.gov/Archives/edgar/data/1073398/000107339821000003,4,2021-03-31,0,ICUI,1,0,0,0,M,0,O,1500.0,24005.0,D,205.44,2022-03-31 00:00:00,222.64,22505.0,6.665185514330149,8.372274143302175
https://www.sec.gov/Archives/edgar/data/1244231/000120919111025928,4,2011-04-01,0,WAB,0,1,0,0,M,0,O,4500.0,30273.0,D,34.18,2012-04-02 00:00:00,37.94,25773.0,17.460132697008497,11.000585137507308
